name;k_on;k_off;coord_group;k_syn;k_d;tran_type
a_266_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_267_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_268_S_NC_2;0.0167;0.0167;;1.0;0.0231;S
a_269_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_270_S_NC_2;0.0167;0.0167;;1.0;0.0023;S
a_271_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_272_S_NC_2;0.0167;0.0167;;0.1;0.0023;S
a_273_S_NC_2;0.0167;0.0167;;1.0;0.0058;S
a_274_S_NC_2;0.0167;0.0167;;1.0;0.0029;S
a_275_S_NC_2;0.0167;0.0167;;1.0;0.0029;S
a_276_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_277_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_278_S_NC_2;0.0167;0.0167;;0.1;0.0058;S
a_279_S_NC_2;0.0167;0.0167;;0.1;0.0058;S
a_280_S_NC_2;0.0167;0.0167;;0.1;0.0039;S
a_281_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_282_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_283_F_C_2;0.0167;0.0167;16.0;1.0;0.0029;F
a_284_F_C_2;0.0167;0.0167;17.0;1.0;0.0058;F
a_285_F_C_2;0.0167;0.0167;17.0;0.1;0.0116;F
a_286_F_C_2;0.0167;0.0167;18.0;0.1;0.0058;F
a_287_F_C_2;0.0167;0.0167;18.0;1.0;0.0058;F
a_288_F_C_2;0.0167;0.0167;18.0;1.0;0.0029;F
a_289_F_C_2;0.0167;0.0167;18.0;1.0;0.0029;F
a_290_F_C_2;0.0167;0.0167;19.0;1.0;0.0231;F
a_291_F_C_2;0.0167;0.0167;19.0;1.0;0.0058;F
a_292_F_C_2;0.0167;0.0167;19.0;1.0;0.0231;F
a_293_F_C_2;0.0167;0.0167;19.0;0.1;0.0023;F
a_294_F_C_2;0.0167;0.0167;19.0;1.0;0.0116;F
a_295_F_C_2;0.0167;0.0167;19.0;1.0;0.0029;F
a_296_F_C_2;0.0167;0.0167;19.0;0.1;0.0116;F
a_297_F_C_2;0.0167;0.0167;19.0;1.0;0.0023;F
a_298_F_C_2;0.0167;0.0167;20.0;1.0;0.0116;F
a_299_F_C_2;0.0167;0.0167;20.0;1.0;0.0029;F
a_300_F_C_2;0.0167;0.0167;20.0;0.1;0.0058;F
a_301_F_C_2;0.0167;0.0167;20.0;0.1;0.0231;F
a_302_F_C_2;0.0167;0.0167;20.0;1.0;0.0029;F
a_303_F_C_2;0.0167;0.0167;20.0;1.0;0.0039;F
a_304_F_C_2;0.0167;0.0167;20.0;0.1;0.0058;F
a_305_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_306_F_C_2;0.0167;0.0167;20.0;1.0;0.0039;F
a_307_F_C_2;0.0167;0.0167;20.0;1.0;0.0029;F
a_308_F_C_2;0.0167;0.0167;20.0;1.0;0.0231;F
a_309_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_310_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_311_F_C_2;0.0167;0.0167;20.0;1.0;0.0039;F
a_312_F_C_2;0.0167;0.0167;20.0;0.1;0.0039;F
a_313_F_C_2;0.0167;0.0167;20.0;1.0;0.0116;F
a_314_F_C_2;0.0167;0.0167;20.0;1.0;0.0029;F
a_315_F_C_2;0.0167;0.0167;20.0;0.1;0.0039;F
a_316_F_C_2;0.0167;0.0167;20.0;0.1;0.0231;F
a_317_F_C_2;0.0167;0.0167;20.0;0.1;0.0029;F
a_318_F_C_2;0.0167;0.0167;20.0;0.1;0.0116;F
a_319_F_C_2;0.0167;0.0167;20.0;0.1;0.0058;F
a_320_F_C_2;0.0167;0.0167;20.0;1.0;0.0058;F
a_321_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_322_F_C_2;0.0167;0.0167;20.0;0.1;0.0116;F
a_323_F_C_2;0.0167;0.0167;20.0;0.1;0.0058;F
a_324_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_325_F_C_2;0.0167;0.0167;20.0;0.1;0.0058;F
a_326_F_C_2;0.0167;0.0167;20.0;0.1;0.0023;F
a_327_F_C_2;0.0167;0.0167;20.0;0.1;0.0231;F
a_328_F_C_2;0.0167;0.0167;20.0;1.0;0.0116;F
a_329_F_C_2;0.0167;0.0167;20.0;1.0;0.0058;F
a_330_F_NC_2;0.0167;0.0167;;0.1;0.0116;F
a_331_F_NC_2;0.0167;0.0167;;1.0;0.0023;F
a_332_F_NC_2;0.0167;0.0167;;1.0;0.0029;F
a_333_F_NC_2;0.0167;0.0167;;0.1;0.0058;F
a_334_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_335_F_NC_2;0.0167;0.0167;;0.1;0.0029;F
a_336_F_NC_2;0.0167;0.0167;;1.0;0.0231;F
a_337_F_NC_2;0.0167;0.0167;;0.1;0.0023;F
a_338_F_NC_2;0.0167;0.0167;;0.1;0.0058;F
a_339_F_NC_2;0.0167;0.0167;;1.0;0.0231;F
a_340_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_341_F_NC_2;0.0167;0.0167;;0.1;0.0023;F
a_342_F_NC_2;0.0167;0.0167;;1.0;0.0231;F
a_343_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_344_F_NC_2;0.0167;0.0167;;0.1;0.0023;F
a_345_F_NC_2;0.0167;0.0167;;1.0;0.0023;F
a_346_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_347_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_348_F_NC_2;0.0167;0.0167;;1.0;0.0029;F
a_349_F_NC_2;0.0167;0.0167;;0.1;0.0116;F
a_350_F_NC_2;0.0167;0.0167;;1.0;0.0023;F
a_351_F_NC_2;0.0167;0.0167;;1.0;0.0029;F
a_352_F_NC_2;0.0167;0.0167;;0.1;0.0029;F
a_353_F_NC_2;0.0167;0.0167;;1.0;0.0039;F
a_354_F_NC_2;0.0167;0.0167;;1.0;0.0023;F
a_355_F_NC_2;0.0167;0.0167;;0.1;0.0039;F
a_356_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_357_F_NC_2;0.0167;0.0167;;0.1;0.0029;F
a_358_F_NC_2;0.0167;0.0167;;0.1;0.0116;F
a_359_F_NC_2;0.0167;0.0167;;1.0;0.0029;F
a_360_F_NC_2;0.0167;0.0167;;0.1;0.0039;F
a_361_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_362_F_NC_2;0.0167;0.0167;;0.1;0.0231;F
a_363_F_NC_2;0.0167;0.0167;;0.1;0.0023;F
a_364_F_NC_2;0.0167;0.0167;;1.0;0.0231;F
a_365_F_NC_2;0.0167;0.0167;;0.1;0.0039;F
a_366_F_NC_2;0.0167;0.0167;;1.0;0.0029;F
a_367_F_NC_2;0.0167;0.0167;;0.1;0.0029;F
a_368_F_NC_2;0.0167;0.0167;;1.0;0.0116;F
a_369_F_NC_2;0.0167;0.0167;;1.0;0.0023;F
a_370_F_NC_2;0.0167;0.0167;;0.1;0.0029;F
a_371_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_372_F_NC_2;0.0167;0.0167;;1.0;0.0231;F
a_373_F_NC_2;0.0167;0.0167;;1.0;0.0039;F
a_374_F_NC_2;0.0167;0.0167;;1.0;0.0058;F
a_375_F_NC_2;0.0167;0.0167;;0.1;0.0058;F
a_376_F_NC_2;0.0167;0.0167;;1.0;0.0039;F
